p_id,haptic_id,letter_id,trial_id,start_trial_time,curr_trial_time,total_trial_time,x_pos,y_pos,speed,acceleration,jerk,x_force,y_force
0,0,,0,1617570754208,1617570760397,6189,33.08909,15.144872,1.0,-2.0,-2.0,0.010105003,0.022123765
0,0,,0,1617570754208,1617570760406,6198,33.082897,15.158232,1.0,-2.0,-2.0,8.187137E-4,0.0021628987
0,0,,0,1617570754208,1617570760414,6206,33.081997,15.159976,1.0,-2.0,-2.0,-0.009752973,-0.021005718
0,0,,0,1617570754208,1617570760431,6223,33.075115,15.1748,1.0,-2.0,-2.0,-0.004874175,-0.010339363
0,0,,0,1617570754208,1617570760440,6232,33.07274,15.179954,1.0,-2.0,-2.0,0.0015685464,0.0036172103
0,0,,0,1617570754208,1617570760448,6240,33.07326,15.178799,1.0,-2.0,-2.0,-1.1042862E-5,1.4268479E-4
0,0,,0,1617570754208,1617570760456,6248,33.073517,15.17827,1.0,-2.0,-2.0,-5.2943075E-4,-9.145817E-4
0,0,,0,1617570754208,1617570760472,6264,33.073463,15.178378,1.0,-2.0,-2.0,-4.3294826E-4,-7.2915695E-4
0,0,,0,1617570754208,1617570760481,6273,33.07321,15.178908,1.0,-2.0,-2.0,2.0083212E-4,6.091539E-4
0,0,,0,1617570754208,1617570760490,6282,33.073345,15.17863,1.0,-2.0,-2.0,-1.3933037E-4,-9.144847E-5
0,0,,0,1617570754208,1617570760498,6290,33.073257,15.178811,1.0,-2.0,-2.0,8.551206E-5,3.7233948E-4
0,0,,0,1617570754208,1617570760515,6307,33.087234,15.189131,1.0,-2.0,-2.0,-0.011737178,0.008990839
0,0,,0,1617570754208,1617570760523,6315,33.080048,15.18375,1.0,-2.0,-2.0,0.0065529943,-0.0047062347
0,0,,0,1617570754208,1617570760531,6323,33.084126,15.186794,1.0,-2.0,-2.0,-0.0038997096,0.0031046136
0,0,,0,1617570754208,1617570760540,6332,33.081882,15.185127,1.0,-2.0,-2.0,0.0019442263,-0.0012443305
0,0,,0,1617570754208,1617570760548,6340,33.096157,15.195726,1.0,-2.0,-2.0,-0.0347791,0.026022732
0,0,,0,1617570754208,1617570760556,6348,33.080555,15.184144,1.0,-2.0,-2.0,0.028932935,-0.021277519
0,0,,0,1617570754208,1617570760564,6356,33.122295,15.215095,1.0,-2.0,-2.0,-0.05466134,0.040717736
0,0,,0,1617570754208,1617570760573,6365,33.11289,15.208088,1.0,-2.0,-2.0,0.04108496,-0.030202432
0,0,,0,1617570754208,1617570760584,6376,33.15796,15.241363,1.0,-2.0,-2.0,-0.0014749542,0.0013676889
0,0,,0,1617570754208,1617570760594,6386,33.190907,15.269899,1.0,-2.0,-2.0,0.023606157,-4.657959E-5
0,0,,0,1617570754208,1617570760603,6395,33.233482,15.286428,1.0,-2.0,-2.0,0.010298177,0.0018534232
0,0,,0,1617570754208,1617570760611,6403,33.258514,15.285018,1.0,-2.0,-2.0,0.001957059,-0.058150247
0,0,,0,1617570754208,1617570760619,6411,33.281746,15.289947,1.0,-2.0,-2.0,-0.07702965,-0.103156075
0,0,,0,1617570754208,1617570760628,6420,33.31474,15.297357,1.0,-2.0,-2.0,-0.10867971,-0.14482756
0,0,,0,1617570754208,1617570760636,6428,33.32607,15.29997,1.0,-2.0,-2.0,-0.1140845,-0.17946473
0,0,,0,1617570754208,1617570760644,6436,33.34105,15.303464,1.0,-2.0,-2.0,-0.08915377,-0.24558169
0,0,,0,1617570754208,1617570760660,6452,33.37975,15.313239,1.0,-2.0,-2.0,-0.0708164,-0.30623507
0,0,,0,1617570754208,1617570760669,6461,33.404552,15.319565,1.0,-2.0,-2.0,0.0021802783,-0.36396468
0,0,,0,1617570754208,1617570760676,6468,33.432877,15.327034,1.0,-2.0,-2.0,0.006189406,-0.3925919
0,0,,0,1617570754208,1617570760685,6477,33.468235,15.336465,1.0,-2.0,-2.0,0.033109903,-0.4263214
0,0,,0,1617570754208,1617570760710,6502,33.5782,15.36641,1.0,-2.0,-2.0,0.2348125,-0.45835903
0,0,,0,1617570754208,1617570760719,6511,33.61557,15.376846,1.0,-2.0,-2.0,0.31838405,-0.42455262
0,0,,0,1617570754208,1617570760727,6519,33.65343,15.387714,1.0,-2.0,-2.0,0.3747653,-0.41971713
0,0,,0,1617570754208,1617570760735,6527,33.690887,15.399013,1.0,-2.0,-2.0,0.4547453,-0.3843053
0,0,,0,1617570754208,1617570760743,6535,33.731815,15.410787,1.0,-2.0,-2.0,0.5065253,-0.30992657
0,0,,0,1617570754208,1617570760752,6544,33.77084,15.4221115,1.0,-2.0,-2.0,0.6102309,-0.28760922
0,0,,0,1617570754208,1617570760761,6553,33.80318,15.431893,1.0,-2.0,-2.0,0.6748967,-0.24221638
0,0,,0,1617570754208,1617570760769,6561,33.834145,15.44182,1.0,-2.0,-2.0,0.72540814,-0.17947015
0,0,,0,1617570754208,1617570760777,6569,33.865765,15.4520445,1.0,-2.0,-2.0,0.8370806,-0.14045653
0,0,,0,1617570754208,1617570760785,6577,33.892693,15.461261,1.0,-2.0,-2.0,0.9259964,-0.0919891
0,0,,0,1617570754208,1617570760802,6594,33.94141,15.477853,1.0,-2.0,-2.0,1.0584383,0.048137233
0,0,,0,1617570754208,1617570760812,6604,33.963028,15.485134,1.0,-2.0,-2.0,1.1454312,0.10969402
0,0,,0,1617570754208,1617570760820,6612,33.98234,15.491642,1.0,-2.0,-2.0,1.2350681,0.1686565
0,0,,0,1617570754208,1617570760829,6621,33.99778,15.496842,1.0,-2.0,-2.0,1.3163466,0.21899661
0,0,,0,1617570754208,1617570760838,6630,34.013397,15.502104,1.0,-2.0,-2.0,1.408999,0.27338922
0,0,,0,1617570754208,1617570760846,6638,34.02735,15.506805,1.0,-2.0,-2.0,1.5024962,0.32556602
0,0,,0,1617570754208,1617570760854,6646,34.03851,15.510562,1.0,-2.0,-2.0,1.5859959,0.37019497
0,0,,0,1617570754208,1617570760863,6655,34.0486,15.513962,1.0,-2.0,-2.0,1.6695652,0.4132547
0,0,,0,1617570754208,1617570760872,6664,34.058815,15.517404,1.0,-2.0,-2.0,1.7634635,0.45993742
0,0,,0,1617570754208,1617570760880,6672,34.06794,15.520476,1.0,-2.0,-2.0,1.8570179,0.5048505
0,0,,0,1617570754208,1617570760887,6679,34.07514,15.523131,1.0,-2.0,-2.0,1.954783,0.5265562
0,0,,0,1617570754208,1617570760896,6688,34.08303,15.526139,1.0,-2.0,-2.0,2.064383,0.55350417
0,0,,0,1617570754208,1617570760904,6696,34.09206,15.529846,1.0,-2.0,-2.0,2.188457,0.5877142
